Unnamed:0,DESA_1,year,population
683,CIKADU,2014,2193
684,CIBUKAMANAH,2014,2114
685,CIRANGKONG,2014,3133
686,CIPANCUR,2014,1777
687,CIPINANG,2014,4046
688,CIPARUNGSARI,2014,3004
689,KARYAMEKAR,2014,3411
690,CIBATU,2014,2990
691,CILANDAK,2014,4076
692,PASIRANGIN,2014,5589
693,NANGEWER,2014,5955
694,NEGLASARI,2014,4122
695,LINGGASARI,2014,4072
696,SAWIT,2014,3551
697,SIRNAMANAH,2014,2067
698,DEPOK,2014,6734
699,LEGOKSARI,2014,2208
700,MEKARSARI,2014,4989
701,GUNUNGHEJO,2014,3054
702,DARANGDAN,2014,5716
703,SADARKARYA,2014,2786
704,LINGGAMUKTI,2014,2955
705,CILINGGA,2014,4412
706,NAGRAK,2014,6896
707,TEGALDATAR,2014,6796
708,SINARGALIH,2014,6710
709,CITAMIANG,2014,4869
710,CIJATI,2014,2769
711,GUNUNGKARUNG,2014,4724
712,PASIRJAMBU,2014,3773
713,CIRAMAHILIR,2014,3772
714,SUKAMUKTI,2014,3521
715,SUKAHAJI,2014,2461
716,KAROYA,2014,4604
717,CADASSARI,2014,2749
718,CADASMEKAR,2014,4119
719,CITALANG,2014,4353
720,BATUTUMPANG,2014,4881
721,TEGALWARU,2014,2839
722,TEGALSARI,2014,2493
723,WARUNGJERUK,2014,4207
724,GALUMPIT,2014,2476
725,CISARUA,2014,4766
726,SUKAMULYA,2014,5537
727,PASANGGRAHAN,2014,3168
728,RAWASARI,2014,3537
729,GANDASOLI,2014,3560
730,GANDAMEKAR,2014,3925
731,CIBOGOHILIR,2014,7435
732,PALINGGIHAN,2014,5326
733,BABAKAN SARI,2014,2901
734,P L E R E D,2014,5207
735,SINDANGSARI,2014,5158
736,CITEKO,2014,4672
737,CITEKOKALER,2014,3319
738,LINGGARSARI,2014,4439
739,PAMOYANAN,2014,5698
740,LIUNGGUNUNG,2014,6669
741,ANJUN,2014,5175
742,CIBOGO GIRANG,2014,8369
743,SEMPUR,2014,6110
744,CIANTING,2014,5308
745,PASIRMUNJUL,2014,3562
746,CIBODAS,2014,4064
747,CIANTING UTARA,2014,3032
748,SUKATANI,2014,12325
749,MALANGNENGAH,2014,5468
750,CILALAWI,2014,4852
751,SUKAMAJU,2014,3399
752,CIPICUNG,2014,3234
753,TAJURSINDANG,2014,6721
754,SINDANGLAYA,2014,3940
755,PANYINDANGAN,2014,5505
756,SUKAJAYA,2014,4889
757,CIJANTUNG,2014,4173
758,CIWANGI,2014,10910
759,CIBENING,2014,10437
760,BUNGURSARI,2014,3361
761,CIBUNGUR,2014,3448
762,DANGDEUR,2014,2098
763,WANAKERTA,2014,3911
764,CINANGKA,2014,3945
765,CIKOPO,2014,7264
766,KARANGMUKTI,2014,2665
767,CIBODAS,2014,6854
768,NANGERANG,2015,2317
769,SIMPANG,2015,1897
770,SAKAMBANG,2015,1583
771,NAGROG,2015,2524
772,CIBUNTU,2015,1574
773,SUMURUGUL,2015,1749
774,RAHARJA,2015,1419
775,WANAYASA,2015,5705
776,BABAKAN,2015,3875
777,WANASARI,2015,3792
778,LEGOKHUNI,2015,2895
779,CIAWI,2015,2969
780,SUKADAMI,2015,3581
781,TARINGGUL TONGGOH,2015,3567
782,TARINGGUL TENGAH,2015,3211
783,JATIMEKAR,2015,3917
784,CIKAOBANDUNG,2015,5014
785,JATILUHUR,2015,3652
786,CILEGONG,2015,5197
787,KEMBANGKUNING,2015,9615
788,CIBINONG,2015,4448
789,PARAKANLIMA,2015,5567
790,CISALADA,2015,6658
791,MEKARGALIH,2015,9082
792,BUNDER,2015,12173
793,PUSAKAMULYA,2015,4296
794,PARAKAN GAROKGEK,2015,2663
795,CIRACAS,2015,2684
796,KIARAPEDES,2015,2886
797,CIBEBER,2015,2106
798,SUMBERSARI,2015,1865
799,MEKARJAYA,2015,2519
800,MARGALUYU,2015,2470
801,GARDU,2015,2216
802,TARINGGUL LANDEUH,2015,2016
803,PARUNGBANTENG,2015,3001
804,SUKASARI,2015,3863
805,CIRIRIP,2015,3863
806,KERTAMANAH,2015,2986
807,KUTAMANAH,2015,3946
808,CIBINGBIN,2015,4707
809,BOJONG TIMUR,2015,4115
810,PASANGGRAHAN,2015,2351
811,CIHANJAWAR,2015,2405
812,CIKERIS,2015,2808
813,BOJONG BARAT,2015,3120
814,PANGKALAN,2015,2443
815,SUKAMANAH,2015,2706
816,PAWENANG,2015,2898
817,SINDANGSARI,2015,3174
